Id	Name	Enroll	Score	Certificate
820	Kellby	-	191.465	9.51
821	Giff	-	186.142	10.65
822	Wyn	+	189.584	10.72
823	Ariella	-	169.727	11.71
824	Craggie	-	173.286	12.94
825	Lorain	+	103.446	9.32
826	Moina	+	174.794	11.42
827	Tryck	-	159.893	12.64
828	Honoria	+	147.212	9.75
829	Faso	-	105.225	9.93
830	Junie	+	189.004	12.16
831	Donoghue	-	190.216	9.71
832	Trey	+	138.721	11.98
833	Amadas	+	163.943	12.08
834	Grobe	+	154.831	10.98
835	Bach	-	189.208	12.23
836	Othilia	-	131.176	10.09
837	Vivle	+	194.627	9.33
838	Virgin	+	103.604	10.37
839	Phi	+	187.594	9.46
840	Naashom	-	128.983	10.11
841	Dom	-	171.996	9.08
842	Vorster	-	166.739	10.05
843	Kiyoshi	-	136.22	9.45
844	Tristram	-	136.885	12.46
845	Kermit	+	152.111	12.73
846	Drus	+	147.293	9.38
847	Mendez	-	156.455	12.64
848	Dawkins	-	151.979	11.42
849	Philoo	+	137.169	12.64
850	Concha	+	165.465	11.05
851	Delila	+	148.656	11
852	Pacorro	+	113.803	10.72
853	Fontana	-	167.656	11.35
854	Ricki	-	129.608	10.74
855	Ramona	-	193.16	11.2
856	Brunell	-	127.483	10.13
857	Juan	-	169.719	12.63
858	Louanna	-	157.963	11.77
859	Juan	-	122.999	12.68
860	Pauly	-	163.381	12.39
861	Dichy	-	109.339	10.12
862	Mitzi	-	141.933	9.79
863	Roche	-	125.285	9.73
864	Autrey	+	158.132	12.75
865	Warthman	+	164.286	12.99
866	Schwejda	+	128.576	12.72
867	Yorick	+	190.822	10.75
868	Corilla	+	135.047	9.05
869	Bach	+	139.995	10.74
870	Angelis	-	187.238	12.49
871	Llovera	+	145.537	9.07
872	Killigrew	+	104.539	9.74
873	Anselmi	+	113.601	10.22
874	Durante	+	199.13	9.45
875	Bollay	+	108.155	12.84
876	Lowry	+	128.657	10.16
877	Xerxes	+	168.898	9.09
878	Carbo	-	134.517	11.32
879	Rheingold	-	110.262	12.52
880	Willie	-	158.938	9.86
881	Braun	+	195.213	9.49
882	Brunell	+	156.15	10.1
883	Lasley	+	145.006	11.29
884	Nore	-	118.667	11.7
885	Ludewig	-	146.033	11.82
886	Keelia	-	113.486	9.98
887	Pip	-	100.579	12.7
888	Ulphia	-	162.404	9.34
889	Wind	-	168.977	11.4
890	Swigart	-	155.649	11.39
891	Giule	-	174.899	12.27
892	Trey	+	118.395	10.49
893	Rosette	-	131.485	11.96
894	Oneida	+	164.347	10.93
895	Rozanna	-	198.041	10.98
896	Campball	-	111.68	10.82
897	Raffo	+	128.698	9.33
898	Kalinda	-	137.42	12.42
899	Tristram	-	128.226	10.85
900	Kazimir	-	133.754	10.32
901	Andrel	+	172.35	11.44
902	Docilla	+	155.726	12.62
903	Vacuva	-	176.902	10.89
904	Liebermann	-	117.498	9.04
905	Fadiman	+	117.892	10.21
906	Dom	+	118.915	10.17
907	Deegan	-	155.952	11.95
908	Adrienne	+	175.614	12.66
909	Hazlett	-	162.501	11.59
910	Niles	-	128.249	11.71
911	Vittoria	-	135.895	11.85
912	Raul	-	111.564	9.11
913	Podvin	-	137.654	12.4
914	Sadowski	+	112.09	10.77
915	Ethban	-	144.062	12.62
916	Aloise	-	132.194	10.53
917	Sabella	-	144.838	10.99
918	Marcellus	-	180.265	11.45
919	Louanna	-	114.504	9.13
920	Malina	-	144.888	10.3
921	Freddi	+	183.754	10.84
922	Lissi	-	124.416	10.39
923	Rodmann	-	104.636	10.08
924	Tristram	+	192.581	11.02
925	Christal	-	129.738	11.27
926	Standing	-	195.159	9.41
927	Lesley	-	135.067	9.32
928	Baylor	+	151.99	12.3
929	Tound	-	194.191	10.48
930	Kermit	+	155.606	12
931	Lacombe	-	185.919	9.49
932	Heisel	+	192.779	9.57
933	Cleavland	+	169.429	12.85
934	Guildroy	-	172.472	11.55
935	Rona	-	123.812	11.42
936	Dimitris	-	172.374	11.8
937	Knowling	+	141.746	9.66
938	Dreda	+	189.619	11.26
939	Jaylene	+	196.188	10.4
940	Harl	-	138.865	9.6
941	Penelopa	-	102.875	9.31
942	Bury	+	142.319	11.69
943	Neils	-	165.548	10.16
944	Ammann	+	105.679	9.71
945	Milson	-	150.831	9.91
946	Huggins	+	194.991	10.53
947	Baylor	+	194.032	9.87
948	Daveta	-	198.003	10.84
949	Ietta	-	197.286	10.34
950	Corrine	+	143.638	12.25
951	Loeb	+	101.323	9.43
952	Klotz	-	152.934	9.28
953	Deegan	+	109.681	11.3
954	Tound	-	199.997	9.39
955	MacIntosh	+	166.879	12.54
956	Palocz	+	179.313	10.51
957	Thunell	+	170.446	10.72
958	Allys	+	138.897	11.44
959	Seligman	-	174.231	11.71
960	Hanshaw	+	176.015	10.28
961	Demitria	-	134.212	9.82
962	Kauppi	-	182.186	10.75
963	Monaco	-	160.815	10.7
964	Jammal	+	197.135	10.92
965	Argus	+	154.757	11.16
966	Zetta	+	163.23	9.02
967	Tayib	-	155.76	9.63
968	Alva	-	139.594	9.66
969	Penelopa	+	192.434	10.24
970	Clywd	-	166.236	12.87
971	Lea	-	147.861	12.74
972	Beniamino	-	103.991	12.6
973	Vale	-	155.989	13
974	Alcott	-	143.023	12.46
975	Kermit	-	168.668	10.67
976	Lasley	+	200.745	11.92
977	Ventre	-	125.775	10.45
978	Francyne	-	154.476	12.68
979	Lissi	+	171.054	9.59
980	Clywd	-	145.328	12.75
981	Lareena	-	165.548	9.55
982	Bonucci	-	103.297	11.05
983	Erich	+	182.179	11.55
984	Ioab	-	195.292	12.51
985	Kinnard	+	122.362	10.01
986	Harned	-	124.26	12.41
987	Hachmin	+	195.002	10.68
988	Adrienne	+	184.697	10.24
989	Darbie	-	164.367	11.87
990	Constancy	-	103.251	12.24
991	Ranjiv	-	188.727	12.54
992	Afton	+	177.005	9.19
993	Milde	+	167.463	9.6
994	Fitzsimmons	-	131.659	9.32
995	Konyn	+	171.16	10.14
996	Korey	-	105.064	9.35
997	Blase	-	100.171	12.8
998	Kenwood	+	105.181	12.07
999	Leopold	-	138.875	10.83
1000	Virgin	+	170.477	11.25
